Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
821abda5-07cf-6010-163a-71341ca6ae24,1960-02-28,,999-87-2075,S99919730,X11723183X,Mrs.,Tula326,Terry864,,Monahan736,M,white,nonhispanic,F,Chicopee  Massachusetts  US,610 Block Dam Suite 60,Natick,Massachusetts,Middlesex County,,42.279355472032734,-71.39098500690018,1247412.06,737.4
abf66d2f-07d3-4cdd-e132-0606d38ad219,2005-01-22,,999-17-3265,NULL,,,Fritz267,Renner328,,,,black,nonhispanic,M,Burlington  Massachusetts  US,319 Treutel Key Suite 73,Medford,Massachusetts,Middlesex County,02145,42.34286470374882,-71.11604283595591,425821.1,2824.8399999999997
9eb8bc8f-a703-3258-e089-e64ea3f62ae5,1992-02-27,,999-24-8078,S99920903,X55390209X,Mr.,Erich201,Kilback373,,,M,white,nonhispanic,M,Hingham  Massachusetts  US,413 Brekke Wynd Suite 93,Methuen,Massachusetts,Essex County,,42.692967432538126,-71.21482644963517,595411.98,3363.04
3b33c55e-ba5a-9cd1-1e76-0a61800bc7d5,2020-06-26,,999-75-8205,,,,Vannesa928,Jaskolski867,,,,white,nonhispanic,F,Falmouth  Massachusetts  US,849 Rath Run Unit 89,Westport,Massachusetts,Bristol County,,41.62890848555189,-71.08745387573225,12600.0,516.64
3fd4a4ef-b82e-5cff-7248-8f0d405787f1,1984-10-15,,999-24-6771,S99941240,X3495335X,Mr.,Lucius907,Kuhic920,,,M,white,nonhispanic,M,Medford  Massachusetts  US,577 Osinski Heights Unit 83,Auburn,Massachusetts,Worcester County,,42.15314503985818,-71.82356980439901,841242.5,4066.9099999999994
4357c73e-626b-cdb3-3b34-33df21e75cd0,1977-12-03,,999-46-8653,S99942651,X86599242X,Mr.,Octavio643,Casanova632,,,M,white,hispanic,M,Lima  Lima Province  PE,281 Labadie Burg Suite 66,Webster,Massachusetts,Worcester County,01570,42.028552968816236,-71.8520147342201,26724.629999999997,0.0
cc1d5887-b6b1-b3e0-b132-6dda7670960a,1966-07-19,,999-17-8749,S99998423,X36487581X,Mr.,Thaddeus38,Haley279,,,M,white,nonhispanic,M,Lynnfield  Massachusetts  US,759 O'Reilly Glen Apt 69,Quincy,Massachusetts,Norfolk County,02170,42.280870554764334,-71.0021312124735,168101.22,12290.29
9470db8f-3709-5a2f-25f2-0cb63f8d6b29,1942-08-29,2002-06-18,999-24-6018,S99938830,X44497686X,Mrs.,Edyth30,Schaden604,,Beer512,M,white,nonhispanic,F,Amherst  Massachusetts  US,702 Bogisich Lock Unit 53,Billerica,Massachusetts,Middlesex County,,42.60173635283453,-71.25448306635127,1209200.66,7145.5999999999985
12ff6ba1-a053-fcb3-bcb6-c63def3e5a10,1920-05-01,1969-10-18,999-34-3072,S99952793,X44544482X,Mrs.,Charlene806,Torphy630,,Kunze215,M,white,nonhispanic,F,Chelmsford  Massachusetts  US,527 Champlin Neck,Rowley,Massachusetts,Essex County,01969,42.72699295219376,-70.92470156294142,1176663.8900000001,8888.199999999999
ffc4a7d4-ed4f-7d62-9ad5-1b2dd5e3f9a2,2014-12-05,,999-26-2986,,,,Emmanuel930,Fahey393,,,,white,hispanic,M,Boston  Massachusetts  US,217 Gerlach Plaza,Boston,Massachusetts,Suffolk County,02113,42.31323219335112,-71.11853512146007,141438.76,2115.64
fbe38ddd-bec0-f36f-4822-8570c68c3cd0,1994-12-24,,999-29-1816,S99996177,X60719509X,Ms.,Mariah942,Hickle134,,,,white,nonhispanic,F,Freetown  Massachusetts  US,740 Upton Lane Apt 53,Boston,Massachusetts,Suffolk County,02119,42.27638921741665,-71.11001935264278,81500.03,5051.7699999999995
f7d25d9d-1b86-b9c2-0392-de23fb97933e,1979-03-25,,999-59-3161,S99946320,X6429965X,Mrs.,Sofia418,Hernádez343,,Rosario163,M,white,hispanic,F,Buenos Aires  Ciudad de Buenos Aires  AR,686 Schumm Mall Apt 96,Boston,Massachusetts,Suffolk County,02109,42.420035147880185,-71.0950885254764,131766.69,6885.779999999999
c901a0a6-54fa-3f25-de8f-143f57fd5e44,1966-03-10,,999-24-1794,S99992124,X25195116X,Mrs.,Wai719,Leannon79,,Willms744,M,white,nonhispanic,F,Fiskdale  Massachusetts  US,1085 Heller Ferry Suite 38,Lynn,Massachusetts,Essex County,01906,42.430807322259,-70.9020246541661,1141684.99,6931.999999999999
b33ba3a0-f46b-2b61-dabe-035148dc7027,2013-04-12,,999-40-8351,,,,Roselyn270,Monahan736,,,,white,nonhispanic,F,Boston  Massachusetts  US,962 Reichert View,Haverhill,Massachusetts,Essex County,01830,42.792534947802054,-71.04049724985903,170505.69,2256.43
9b90cfb1-3acf-be39-976a-ed3f67aea263,1964-06-24,,999-28-3568,S99955980,X10146510X,Mrs.,Gilma310,Shields502,,Schiller186,M,white,nonhispanic,F,Northbridge  Massachusetts  US,366 Grady Mill,Arlington,Massachusetts,Middlesex County,02474,42.44853265811657,-71.12096325641416,1123526.68,10413.919999999998
be970b8a-93fa-5bbc-3c2d-e273778f55f2,2003-05-31,,999-63-9677,S99996752,,,Ladonna785,Conn188,,,,white,nonhispanic,F,Somerville  Massachusetts  US,824 Blanda Course Apt 20,Somerville,Massachusetts,Middlesex County,02140,42.36660957938906,-71.08025705005622,425493.62,2822.2799999999997
2e03ec74-8bcc-1389-b8d2-3dc96daef5ef,1969-04-26,,999-11-1831,S99921452,X38181996X,Mr.,Rolland302,Fadel536,,,M,white,nonhispanic,M,Haverhill  Massachusetts  US,1052 Simonis Gardens Apt 62,Lynnfield,Massachusetts,Essex County,01940,42.48613491224242,-71.027601831882,55941.23,0.0
fd018807-df1c-a73c-1f74-10a3c8240f9c,2005-10-21,,999-47-3215,,,,Avery919,Roob72,,,,white,nonhispanic,F,Holyoke  Massachusetts  US,488 O'Conner Bridge Suite 63,Boston,Massachusetts,Suffolk County,02129,42.3384236942912,-71.03079484662084,4449.37,0.0
7506ef43-e718-68d9-bf9e-2ebac06ec484,1957-07-04,,999-98-4915,S99960802,X8295786X,Mr.,Michale231,Bartell116,,,M,white,nonhispanic,M,Quincy  Massachusetts  US,491 Bins Rapid Unit 44,Needham,Massachusetts,Norfolk County,02494,42.27503490987773,-71.27863848046175,1537193.16,9532.939999999999
5b84d0b6-0b76-0fba-1d6a-a7dc5bf6020b,2010-10-26,,999-76-7110,,,,Kendra609,Reinger292,,,,white,nonhispanic,F,Wareham  Massachusetts  US,380 Roberts Wynd Apt 55,Mansfield,Massachusetts,Bristol County,,42.053860626847865,-71.18933371542182,234255.19,2602.3199999999997
ab712334-7a6b-986c-19ff-e5e3e59ea839,1942-08-29,,999-81-5438,S99996453,X59118593X,Ms.,So684,Welch179,,,S,white,nonhispanic,F,Boston  Massachusetts  US,446 Nader Light Apt 17,Billerica,Massachusetts,Middlesex County,,42.52177428023657,-71.26860818908891,1445899.68,18849.28
9490c80d-ed3b-e8c6-51b4-b349d6360ba1,1949-02-21,,999-81-5022,S99946086,X27916985X,Mr.,Sergio619,Swaniawski813,,,M,white,hispanic,M,Milton  Massachusetts  US,771 Crona Passage,Billerica,Massachusetts,Middlesex County,,42.51521214200091,-71.28375628656866,1586479.39,6080.5599999999995
a9f14dcd-bd93-5794-b2b6-32153fb15947,1920-05-01,,999-10-5947,S99941106,X11723017X,Mrs.,Freda902,Langosh790,,Krajcik437,M,white,nonhispanic,F,Worcester  Massachusetts  US,947 Thiel Passage Suite 87,Rowley,Massachusetts,Essex County,01969,42.73640425964937,-70.8390854434956,1458079.53,16647.85
3852b507-4d19-9123-3378-3fd2d24c8381,2019-10-02,,999-64-8606,NULL,,,Gabriel934,Barrientos891,,,,white,hispanic,M,Juarez  Chihuahua  MX,716 Murazik Terrace,Whitman,Massachusetts,Plymouth County,,42.09986542414684,-70.89216110487223,33806.47,939.0999999999999
6b309a23-2619-2bdc-9f27-551a306ff953,1996-07-06,2012-07-21,999-35-5374,S99949242,,,Gene733,Bartell116,,,,white,nonhispanic,F,Northampton  Massachusetts  US,917 Cassin Glen,Stoughton,Massachusetts,Norfolk County,,42.11455349111596,-71.15171636157426,409507.25,2470.58
4dec128c-1b0e-4a9c-3abb-a64c2817fcd6,2005-04-12,,999-68-3860,,,,Rose199,Wiegand701,,,,white,nonhispanic,F,Franklin  Massachusetts  US,1060 Kuhic Parade,Norton,Massachusetts,Bristol County,,41.938132475890136,-71.16395175595035,419680.44,2824.8399999999997
4d53e78f-37e3-12cf-c351-8479c652358c,1980-04-15,,999-46-6009,S99967673,X28092040X,Mrs.,Carmen818,Riojas420,,Ulloa39,M,white,hispanic,F,Bayamon  Puerto Rico  PR,131 Russel Parade,Westborough,Massachusetts,Worcester County,,42.22823574611156,-71.63053486568937,1013375.8,8329.779999999999
0494478b-e622-5e0b-0134-48a4eaa12ea3,1940-08-03,,999-91-3274,S99968297,X89494348X,Mr.,Benjamin360,Bode78,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,1097 Leffler Landing,East Dennis,Massachusetts,Barnstable County,02641,41.75074442750177,-70.13029809922324,1690014.71,6910.0199999999995
